"";"Rapper";"artist_id";"Search_Found";"Searchterm";"language"
"292";"234304";"Franz Hartmann";"2";"Hartmann";"english"
"293";"135804";"Hartmann";"2";"Hartmann";"english"
"294";"1142872";"Hasan.K & Gringo";"1";"Hasan.K";"german"
"295";"1072497";"Haszcara";"1";"Haszcara";"german"
"296";"13756";"Angel Haze";"2";"Haze";"scots"
"297";"994903";"André Hazes Jr.";"2";"Haze";"middle_frisian"
"298";"19392";"Herzog";"1";"Herzog";"german"
"299";"228615";"JAW & Hollywood Hank";"3";"Hollywood-Hank";"german"
"300";"13393";"Hollywood Hank";"3";"Hollywood-Hank";"german"
"301";"15637";"Favorite & Hollywood Hank";"3";"Hollywood-Hank";"german"
"302";"634092";"Hubert Daviz & Retrogott";"2";"Hubert-Daviz";"german"
"303";"38828";"Hubert Daviz";"2";"Hubert-Daviz";"keine_erfolgreiche_stichprobe"
"304";"206469";"Hustensaft Jüngling";"1";"Hustensaft-Jüngling";"keine_erfolgreiche_stichprobe"
"305";NA;"Illmatic";"0";"Illmatic";"NA"
"306";"1387";"Illogic";"1";"Illo";"english"
"307";NA;"Italo Reno";"0";"Italo-Reno";"NA"
"308";NA;"Italo Reno & Germany";"0";"Italo-Reno-&-Germany";"NA"
"309";"161905";"Jack Orsen";"1";"Jack-Orsen";"german"
"310";"1043077";"Fler & Jalil";"2";"Jalil";"german"
"311";"396887";"Jalil";"2";"Jalil";"german"
"312";NA;"Jambeatz";"0";"Jambeatz";"NA"
"313";"12512";"Jan Delay";"1";"Jan-Delay";"german"
"314";NA;"La Boom";"0";"La-Boom";"NA"
"315";"208296";"JankOne";"1";"JankOne";"german"
"316";"25924";"Majoe & Jasko";"2";"Jasko";"german"
"317";"139446";"Jasko";"2";"Jasko";"german"
"318";"25924";"Majoe & Jasko";"1";"Majoe-&-Jasko";"german"
"319";NA;"JAW";"0";"JAW";"NA"
"320";"18384";"JayJay (UK)";"1";"JayJay";"english"
"321";"23136";"Jaysus";"1";"Jaysus";"keine_erfolgreiche_stichprobe"
"322";"1198742";"Jazn & Hadi28";"1";"Jazn";"german"
"323";"348422";"DJ Jazzy Jeff & The Fresh Prince";"2";"Jazzy";"english"
"324";"13956";"Jazzy Bazz";"2";"Jazzy";"french"
"325";"86595";"Tic Tac Toe";"1";"Tic-Tac-Toe";"german"
"326";"16101";"Jephza";"1";"Jephza";"german"
"327";"12486";"Jeyz";"1";"Jeyz";"german"
"328";"1223387";"Jigzaw";"2";"Jigzaw";"german"
"329";"1662367";"Brudi030 & Jigzaw & Gent";"2";"Jigzaw";"german"
"330";NA;"J Luv";"0";"J-Luv";"NA"
"331";"480733";"Hagen Stoll";"1";"Hagen-Stoll";"german"
"332";"36183";"Haudegen";"1";"Haudegen";"keine_erfolgreiche_stichprobe"
"333";"33084";"Johnny Mauser & Captain Gips";"2";"Johnny-Mauser";"keine_erfolgreiche_stichprobe"
"334";"49512";"Johnny Mauser";"2";"Johnny-Mauser";"german"
"335";"33083";"Neonschwarz";"1";"Neonschwarz";"german"
"336";NA;"JokA";"0";"JokA";"NA"
"337";"12857";"Samson Jones";"1";"Samson-Jones";"keine_erfolgreiche_stichprobe"
"338";"8495";"Joy Denalane";"1";"Joy-Denalane";"english"
"339";NA;"Joznez";"0";"Joznez";"NA"
"340";NA;"J. S. Kuster";"0";"J.-S.-Kuster";"NA"
"341";"2463";"Snowgoons";"1";"Snowgoons";"english"
