"";"Rapper";"artist_id";"Search_Found";"Searchterm";"language"
"588";"215440";"Absztrakkt & Roey Marquis II.";"3";"Roey-Marquis-II.";"german"
"589";"36527";"Roey Marquis II.";"3";"Roey-Marquis-II.";"german"
"590";"1045308";"X-Men Klan & Roey Marquis II.";"3";"Roey-Marquis-II.";"keine_erfolgreiche_stichprobe"
"591";NA;"Roger Rekless";"0";"Roger-Rekless";"NA"
"592";NA;"Capones";"0";"Capones";"NA"
"593";"35296";"Sa4";"2";"Sa4";"german"
"594";"1603107";"GRiNGO & Sa4 & Brudi030";"2";"Sa4";"german"
"595";"368908";"Sabrina Setlur";"1";"Sabrina-Setlur";"german"
"596";"64177";"Sadi Gent";"1";"Sadi-Gent";"german"
"597";"14785";"SadiQ";"2";"SadiQ";"german"
"598";"39085";"SadiQ & Dú Maroc";"2";"SadiQ";"german"
"599";NA;"Sady K";"0";"Sady-K";"NA"
"600";NA;"Said";"0";"Said";"NA"
"601";"633616";"Jom & Said";"1";"Jom-&-Said";"german"
"602";"11959";"Samy Deluxe";"1";"Samy-Deluxe";"german"
"603";"68627";"Sandy Solo";"1";"Sandy-Solo";"german"
"604";NA;"Scarabeuz";"0";"Scarabeuz";"NA"
"605";"325329";"Scenzah";"1";"Scenzah";"german"
"606";"158553";"Stephen Schwartz";"2";"Schwartz";"english"
"607";"69587";"Zachary Schwartz";"2";"Schwartz";"keine_erfolgreiche_stichprobe"
"608";"23075";"Schwesta Ewa";"1";"Schwesta-Ewa";"german"
"609";"12818";"ScopeY";"1";"Scope";"english"
"610";NA;"Screwaholic";"0";"Screwaholic";"NA"
"611";"329076";"Blokkmonsta, Uzi & SDBY";"1";"SDBY";"german"
"612";"19129";"Sentino";"3";"Sentino";"german"
"613";"1144723";"Sentino x Malik Montana";"3";"Sentino";"polish"
"614";"652706";"Diho x Malik Montana x Sentino";"3";"Sentino";"polish"
"615";"144206";"Sepalot";"1";"Sepalot";"manx"
"616";"1189";"Blumentopf";"1";"Blumentopf";"german"
"617";NA;"Separate";"0";"Separate";"NA"
"618";"54565";"Sera Finale";"1";"Sera-Finale";"german"
"619";NA;"Serdar Thenk Yildiz";"0";"Serdar-Thenk-Yildiz";"NA"
"620";"1199190";"Serkan & Eren";"2";"Serk";"indonesian"
"621";"43495";"Serk";"2";"Serk";"scots"
"622";"1536959";"Sero el Mero";"2";"Sero";"german"
"623";"22996";"Sero";"2";"Sero";"german"
"624";NA;"Sha Karl";"0";"Sha-Karl";"NA"
"625";NA;"She MC";"0";"She-MC";"NA"
"626";NA;"Süchteln";"0";"Süchteln";"NA"
"627";"198063";"Montana Max & Shiml";"3";"Shiml";"german"
"628";"1733226";"JokA, Montana Max & Shiml";"3";"Shiml";"german"
"629";"24169";"Shiml";"3";"Shiml";"german"
"630";"33962";"ShimmyMC";"1";"ShimmyMC";"german"
"631";"25370";"Shizoe";"1";"Shizoe";"german"
"632";"27721";"Shuko";"1";"Shuko";"keine_erfolgreiche_stichprobe"
"633";"1005817";"Siamak Abbasi";"2";"Siamak";"portuguese"
"634";"1005816";"Siamak Abbasi & Amirabbas Golab";"2";"Siamak";"swahili"
"635";"12073";"Sido";"2";"Sido";"german"
"636";"1172705";"Savas & Sido";"2";"Sido";"german"
"637";"13434";"Silla";"2";"Silla";"german"
"638";"18097";"Fler & Silla";"2";"Silla";"german"
"639";NA;"Sinan G";"0";"Sinan-G";"NA"
"640";"575824";"Kontra K & Skinny Al";"2";"Skinny-Al";"german"
"641";"68279";"Skinny Al";"2";"Skinny-Al";"german"
"642";"1446018";"Sleepwalker (Hamburg)";"2";"Sleepwalker";"german"
"643";"16310";"The Sleepwalkers";"2";"Sleepwalker";"keine_erfolgreiche_stichprobe"
"644";"1073378";"<U+0411><U+0430><U+0441><U+0442><U+0430> <U+0438> <U+0421><U+043C><U+043E><U+043A><U+0438> <U+041C><U+043E> (Basta & Smoky Mo)";"2";"Smoky";"german"
"645";"1274961";"<U+0421><U+043C><U+043E><U+043A><U+0438> <U+041C><U+043E> (Smoky Mo)";"2";"Smoky";"keine_erfolgreiche_stichprobe"
"646";NA;"Smudo";"0";"Smudo";"NA"
"647";"151916";"Fard & Snaga";"1";"Snaga";"german"
"648";"61352";"Sookee";"1";"Sookee";"german"
"649";"76849";"Spax";"2";"Spax";"german"
"650";"1448941";"Quando Spaxyz";"2";"Spax";"english"
"651";NA;"Spinning 9";"0";"Spinning-9";"NA"
"652";NA;"Spintec";"0";"Spintec";"NA"
"653";NA;"Spongebozz";"0";"Spongebozz";"NA"
"654";"25448";"Marc Reis";"1";"Marc-Reis";"german"
"655";"20482";"SSIO";"1";"SSIO";"german"
"656";"16472";"Sudden";"1";"Sudden";"german"
"657";NA;"Peter Stöcklin";"0";"Peter-Stöcklin";"NA"
"658";"115503";"Fleur Earth & Suff Daddy";"3";"Suff-Daddy";"german"
"659";"58544";"Suff Daddy";"3";"Suff-Daddy";"scots"
"660";"635326";"Suff Daddy, Rettrogott, Hulk Hodn; H.U.S.S";"3";"Suff-Daddy";"german"
"661";NA;"Sultan Tunc";"0";"Sultan-Tunc";"NA"
"662";"1118217";"KC Rebell & Summer Cem";"2";"Summer-Cem";"german"
"663";"12078";"Summer Cem";"2";"Summer-Cem";"german"
"664";"74714";"Sylabil Spill";"1";"Sylabil-Spill";"german"
"665";NA;"Tachiles";"0";"Tachiles";"NA"
"666";NA;"Tai Jason";"0";"Tai-Jason";"NA"
"667";"139333";"Taichi";"3";"Taichi";"keine_erfolgreiche_stichprobe"
"668";"1571739";"DaRen Taichi God";"3";"Taichi";"scots"
"669";"1653907";"Taichi ( Prod. Cormill )";"3";"Taichi";"english"
"670";"233124";"TaiMO";"1";"TaiMO";"german"
"671";"53314";"Takt32";"1";"Takt32";"german"
"672";"13767";"Taktloss";"1";"Taktloss";"german"
"673";"1572137";"DCVDNS & Tamas";"2";"Tamas";"german"
"674";"72452";"Tamas";"2";"Tamas";"german"
"675";"76243";"Tapete";"1";"Tapete";"german"
"676";"13672";"Tatwaffe";"1";"Tatwaffe";"german"
"677";NA;"Das Duale System";"0";"Das-Duale-System";"NA"
"678";"58156";"Teesy";"1";"Teesy";"german"
"679";"629768";"DJ Telly Tellz";"3";"Telly-Tellz";"scots"
"680";"35283";"Nate57 & Telly Tellz";"3";"Telly-Tellz";"german"
"681";"13173";"Telly Tellz";"3";"Telly-Tellz";"german"
"682";"989527";"Yung Stonoga, Janusz Tracz, Testoviron";"2";"Testo";"polish"
"683";"30991";"Testo";"2";"Testo";"german"
"684";"18803";"Zugezogen Maskulin";"1";"Zugezogen-Maskulin";"german"
"685";"16467";"Timeless";"1";"Timeless";"german"
"686";"23803";"Thomas Dolby";"1";"Thomas-D";"english"
"687";"361698";"Son Goku";"1";"Son-Goku";"german"
"688";NA;"Tobi Tobsen";"0";"Tobi-Tobsen";"NA"
"689";"357829";"Moonbootica";"1";"Moonbootica";"keine_erfolgreiche_stichprobe"
"690";"12886";"Timi Hendrix";"1";"Timi-Hendrix";"german"
"691";"16473";"Pimpulsiv";"1";"Pimpulsiv";"german"
"692";"52939";"The Wolfe Tones";"3";"Tone";"english"
"693";"532";"Tonedeff";"3";"Tone";"english"
"694";"2937";"Tone Loc";"3";"Tone";"english"
"695";"68323";"Konkret Finn";"1";"Konkret-Finn";"german"
"696";NA;"Toni Cottura";"0";"Toni-Cottura";"NA"
"697";"357637";"Fun Factory";"1";"Fun-Factory";"english"
"698";NA;"Toni L";"0";"Toni-L";"NA"
"699";NA;"Toni Tuklan";"0";"Toni-Tuklan";"NA"
"700";"8183";"Tony D";"3";"Tony-D";"german"
"701";"354553";"The Tony Danza Tapdance Extravaganza";"3";"Tony-D";"english"
"702";"363589";"Tony Dize";"3";"Tony-D";"keine_erfolgreiche_stichprobe"
"703";"58985";"Toony";"1";"Toony";"polish"
"704";"12735";"Torch";"2";"Torch";"german"
"705";"1401637";"Light The Torch";"2";"Torch";"english"
"706";NA;"Trooper Da Don";"0";"Trooper-Da-Don";"NA"
"707";NA;"Tropf";"0";"Tropf";"NA"
"708";"12045";"Tua";"2";"Tua";"german"
"709";"651104";"Tuantigabelas";"2";"Tua";"malay"
"710";NA;"Turgay K";"0";"Turgay-K";"NA"
"711";"473";"Ying Yang Twins";"5";"Twin";"english"
"712";"754623";"DJ Twin";"5";"Twin";"scots"
"713";"230800";"Mr Twin Sister";"5";"Twin";"english"
"714";"998397";"Twin Peaks (TV)";"5";"Twin";"english"
"715";"184460";"Twinsmatic";"5";"Twin";"english"
"716";"1270720";"Felix Palmqvist & ToWonder";"1";"T.Wonder";"english"
"717";"192744";"Ufo361";"1";"Ufo361";"german"
"718";NA;"Ünal Yüksel";"0";"Ünal-Yüksel";"NA"
"719";"27169";"Umse";"1";"Umse";"german"
"720";"217208";"Lil Uzi Vert";"1";"Uzi";"scots"
"721";"672904";"L.O.V.E. (Eko & Valezka)";"1";"Valezka";"german"
"722";"556414";"Vegas Jones";"3";"Vega";"italian"
"723";"1180693";"Dimitri Vegas & Like Mike vs David Guetta";"3";"Vega";"scots"
"724";"5446";"Mr. Vegas";"3";"Vega";"scots"
"725";"1316343";"Veysel & Mozzik";"2";"Veysel";"esperanto"
"726";"20847";"Veysel";"2";"Veysel";"german"
"727";"263888";"Visa Vie";"1";"Visa-Vie";"german"
"728";NA;"Vito Vendetta";"0";"Vito-Vendetta";"NA"
"729";NA;"Vokalmatador";"0";"Vokalmatador";"NA"
"730";NA;"Volkan T.";"0";"Volkan-T.";"NA"
"731";"269";"Vampire Weekend";"1";"Weekend";"scots"
"732";NA;"Woroc";"0";"Woroc";"NA"
"733";"16572";"Xatar";"1";"Xatar";"german"
"734";NA;"X plosive";"0";"X-plosive";"NA"
"735";"12501";"Yasha";"4";"Yasha";"german"
"736";"988940";"Yashar Gasanov";"4";"Yasha";"middle_frisian"
"737";"582085";"Yashar. G";"4";"Yasha";"english"
"738";"40400";"Yasha MC";"4";"Yasha";"german"
"739";"29943";"Audio88 & Yassin";"1";"Yassin";"german"
"740";"29943";"Audio88 & Yassin";"1";"Audio88-&-Yassin";"german"
"741";"568238";"Yassir";"2";"Yassir";"keine_erfolgreiche_stichprobe"
"742";"1037591";"Yassir Chediak";"2";"Yassir";"portuguese"
"743";NA;"Yannic Lippe";"0";"Yannic-Lippe";"NA"
"744";"1116189";"Zwangere Guy";"1";"Zwang";"middle_frisian"
"745";"19470";"257ers";"1";"257ers";"german"
"746";NA;"2ruff";"0";"2ruff";"NA"
"747";NA;"0816";"0";"0816";"NA"
"748";NA;"Äi Tiem";"0";"Äi-Tiem";"NA"
"749";"325615";"Aggro Grünwald";"1";"Aggro-Grünwald";"german"
"750";"633346";"AK Ausserkontrolle";"1";"AK-Ausserkontrolle";"german"
"751";"390816";"Am2pm";"1";"Am2pm";"english"
"752";NA;"A.M.T.";"0";"A.M.T.";"NA"
"753";"18774";"Automatikk";"1";"Automatikk";"german"
"754";NA;"Beathoavenz";"0";"Beathoavenz";"NA"
"755";"10165";"Xavier Naidoo";"1";"Xavier-Naidoo";"german"
"756";"1193714";"BSMG";"1";"BSMG";"english"
"757";"17085";"Cartel de Santa";"2";"Cartel";"spanish"
"758";"59765";"Cartel MC's";"2";"Cartel";"portuguese"
"759";NA;"Erci Ergün";"0";"Erci-Ergün";"NA"
"760";"165958";"Karakan";"1";"Karakan";"turkish"
"761";NA;"Da Crime Posse";"0";"Da-Crime-Posse";"NA"
"762";"19125";"Celo & Abdi";"1";"Celo-&-Abdi";"german"
"763";NA;"City Nord";"0";"City-Nord";"NA"
"764";"148754";"Creme de la Creme";"1";"Creme-de-la-Creme";"german"
"765";NA;"John Magiriba Lwanga";"0";"John-Magiriba-Lwanga";"NA"
"766";NA;"Dat Adam";"0";"Dat-Adam";"NA"
"767";"95380";"Deine Elstern";"1";"Deine-Elstern";"german"
"768";"56114";"Kobito";"2";"Kobito";"german"
"769";"459396";"Kobito & sookee";"2";"Kobito";"german"
"770";NA;"Deine Freunde";"0";"Deine-Freunde";"NA"
"771";NA;"DJ exel. Pauly";"0";"DJ-exel.-Pauly";"NA"
"772";NA;"Lukas Nimscheck";"0";"Lukas-Nimscheck";"NA"
"773";NA;"Der Fall Böse";"0";"Der-Fall-Böse";"NA"
"774";NA;"Die 3. Generation";"0";"Die-3.-Generation";"NA"
"775";"54976";"Die Atzen";"1";"Die-Atzen";"german"
"776";"72680";"Die Bandbreite";"1";"Die-Bandbreite";"german"
"777";NA;"Die Coolen Säue";"0";"Die-Coolen-Säue";"NA"
"778";NA;"Andreas Rieke";"0";"Andreas-Rieke";"NA"
"779";NA;"Die Glocken der Revolution";"0";"Die-Glocken-der-Revolution";"NA"
"780";"16471";"DNP";"2";"DNP";"german"
"781";"251594";"DNP & Sudden";"2";"DNP";"german"
"782";"18790";"Doppelkopf";"1";"Doppelkopf";"german"
"783";NA;"Down Low";"0";"Down-Low";"NA"
"784";NA;"Echorausch";"0";"Echorausch";"NA"
"785";NA;"DJ Rabauke";"0";"DJ-Rabauke";"NA"
"786";NA;"Einshoch6";"0";"Einshoch6";"NA"
"787";"191417";"Eljot Quent";"1";"Eljot-Quent";"german"
"788";NA;"Feinkost Paranoia";"0";"Feinkost-Paranoia";"NA"
"789";NA;"Fil da Elephant";"0";"Fil-da-Elephant";"NA"
"790";NA;"DJ Stachy";"0";"DJ-Stachy";"NA"
"791";NA;"Flexevil";"0";"Flexevil";"NA"
"792";NA;"Philippe A. Kayser";"0";"Philippe-A.-Kayser";"NA"
"793";NA;"Fruchtmax & Hugo Nameless";"0";"Fruchtmax-&-Hugo-Nameless";"NA"
"794";"15329";"Genetikk";"1";"Genetikk";"german"
"795";"616586";"Gloomy Boyz";"1";"Gloomy-Boyz";"german"
"796";NA;"Goofiesmackerz";"0";"Goofiesmackerz";"NA"
"797";"208174";"Grüne Medizin";"4";"Grüne-Medizin";"german"
"798";"1400713";"Alpa Gun, Greckoe, Fuhrman, Bendt & Grüne Medizin";"4";"Grüne-Medizin";"german"
"799";"1400715";"Grüne Medizin, Alpa Gun, B-Tight";"4";"Grüne-Medizin";"german"
"800";"197429";"Grüne Medizin & Greckoe";"4";"Grüne-Medizin";"german"
"801";NA;"Harleckinz";"0";"Harleckinz";"NA"
"802";NA;"Hecklah & Coch";"0";"Hecklah-&-Coch";"NA"
"803";NA;"Hijackers";"0";"Hijackers";"NA"
"804";"380887";"Icke & Er";"1";"Icke-&-Er";"german"
"805";"213723";"Inglebirds";"1";"Inglebirds";"german"
"806";NA;"Jansen & Kowalski";"0";"Jansen-&-Kowalski";"NA"
"807";NA;"Junge Dichter und Denker";"0";"Junge-Dichter-und-Denker";"NA"
"808";"57749";"Käptn Peng & Die Tentakel von Delphi";"1";"Käptn-Peng-&-Die-Tentakel-von-Delphi";"german"
"809";NA;"Robert Gwisdek";"0";"Robert-Gwisdek";"NA"
"810";NA;"Keilerkopf";"0";"Keilerkopf";"NA"
"811";"47931";"Kinderzimmer Productions";"1";"Kinderzimmer-Productions";"german"
"812";"1304";"K.I.Z.";"1";"K.I.Z";"german"
"813";"1049458";"KMN Gang";"1";"KMN-Gang";"german"
"814";"346139";"Azet";"2";"Azet";"german"
"815";"1646252";"Azet & Zuna";"2";"Azet";"german"
"816";"632671";"Zuna";"2";"Zuna";"german"
"817";"1646252";"Azet & Zuna";"2";"Zuna";"german"
"818";NA;"K*Rings Brothers";"0";"K*Rings-Brothers";"NA"
"819";NA;"K Rotte";"0";"K-Rotte";"NA"
"820";"390222";"Kurzer Prozess";"1";"Kurzer-Prozess";"german"
"821";NA;"Lecker Sachen";"0";"Lecker-Sachen";"NA"
"822";"380729";"Lemon Ice";"1";"Lemon-Ice";"scots"
"823";NA;"Geeno Smith";"0";"Geeno-Smith";"NA"
"824";NA;"Les Babacools";"0";"Les-Babacools";"NA"
"825";"180744";"Manfred Groove";"1";"Manfred-Groove";"german"
"826";"21873";"Massive Töne";"1";"Massive-Töne";"german"
"827";"119053";"Fumanschu";"1";"Fumanschu";"german"
"828";"128040";"Fuat";"1";"Fuat";"turkish"
"829";"356291";"Mediengruppe Telekommander";"1";"Mediengruppe-Telekommander";"german"
"830";"1463893";"Bejarano & Microphone Mafia";"1";"Microphone-Mafia";"german"
"831";NA;"Moabeat";"0";"Moabeat";"NA"
"832";NA;"DJ Illvibe";"0";"DJ-Illvibe";"NA"
"833";NA;"Mundwerk Crew";"0";"Mundwerk-Crew";"NA"
"834";NA;"Nachtwandler";"0";"Nachtwandler";"NA"
"835";NA;"N Factor";"0";"N-Factor";"NA"
"836";NA;"Noisy Stylus";"0";"Noisy-Stylus";"NA"
"837";NA;"N’Socialist Soundsystem";"0";"N’Socialist-Soundsystem";"NA"
"838";"177505";"Ohrbooten";"1";"Ohrbooten";"german"
"839";"1139584";"Peti Free";"1";"Peti-Free";"german"
"840";NA;"PF Squad";"0";"PF-Squad";"NA"
"841";"977588";"The Conjugate Phase Vector Total Energy Dynamic Function";"1";"Phase-V";"english"
"842";NA;"Poedra";"0";"Poedra";"NA"
"843";"980209";"Prophets of Rage";"1";"Prophets-of-Rage";"scots"
"844";"62024";"Puppetmastaz";"1";"Puppetmastaz";"scots"
"845";"455218";"Rapsoul";"1";"Rapsoul";"german"
"846";NA;"Readykill";"0";"Readykill";"NA"
"847";NA;"RockRainer";"0";"RockRainer";"NA"
"848";NA;"SAM";"0";"SAM";"NA"
"849";NA;"Saprize";"0";"Saprize";"NA"
"850";NA;"Gregor Hennig";"0";"Gregor-Hennig";"NA"
"851";NA;"Sandra Nasic";"0";"Sandra-Nasic";"NA"
"852";"95396";"Schlagzeiln";"1";"Schlagzeiln";"german"
"853";NA;"Segam & Andi B.";"0";"Segam-&-Andi-B.";"NA"
"854";"370326";"Sisters Keepers";"1";"Sisters-Keepers";"german"
"855";NA;"Skills en Masse";"0";"Skills-en-Masse";"NA"
"856";NA;"Skunk Funk";"0";"Skunk-Funk";"NA"
"857";NA;"Soko Crew";"0";"Soko-Crew";"NA"
"858";NA;"Sons of Gastarbeita";"0";"Sons-of-Gastarbeita";"NA"
"859";"373653";"Spektacoolär";"1";"Spektacoolär";"german"
"860";NA;"Sprachlabor";"0";"Sprachlabor";"NA"
"861";"29086";"Stereoids";"1";"Stereoids";"german"
"862";"13655";"Stieber Twins";"1";"Stieber-Twins";"german"
"863";NA;"Such a Surge";"0";"Such-a-Surge";"NA"
"864";"13622";"Tefla & Jaleel";"1";"Tefla-&-Jaleel";"german"
"865";NA;"Ricarda Wältken";"0";"Ricarda-Wältken";"NA"
"866";"13815";"Too Strong";"1";"Too-Strong";"german"
"867";NA;"Underdog Cru";"0";"Underdog-Cru";"NA"
"868";NA;"UnterWortverdacht";"0";"UnterWortverdacht";"NA"
"869";"458310";"Urbanize";"1";"Urbanize";"german"
"870";NA;"Verbales Style Kollektiv";"0";"Verbales-Style-Kollektiv";"NA"
"871";NA;"Versbox";"0";"Versbox";"NA"
"872";NA;"Waving the Guns";"0";"Waving-the-Guns";"NA"
"873";"110357";"Witten Untouchable";"1";"Witten-Untouchable";"german"
"874";NA;"Zentrifugal";"0";"Zentrifugal";"NA"
"875";NA;"Bas Böttcher";"0";"Bas-Böttcher";"NA"
"876";"1301793";"Zombiez";"1";"Zombiez";"german"
"877";"657510";"Zweierpasch";"1";"Zweierpasch";"german"
