Jahr;Polizeilich erfasste Fälle
2000;13488
2001;12436
2002;13541
2003;13936
2004;14660
2005;14728
2006;13755
2007;12932
2008;12895
2009;12316
2010;10497
2011;10199
2012;10525
2013;10698
2014;10933
2015;10444
2016;12150
2017;14546
